iter	Passed	Remaining
512	1203	2357
513	1205	2354
514	1207	2351
515	1210	2350
516	1212	2347
517	1215	2345
518	1217	2342
519	1219	2340
520	1221	2337
521	1223	2335
522	1226	2332
523	1228	2330
524	1231	2329
525	1233	2326
526	1235	2323
527	1238	2321
528	1240	2319
529	1242	2316
530	1245	2314
531	1247	2312
532	1250	2310
533	1252	2308
534	1255	2306
535	1257	2303
536	1259	2301
537	1262	2299
538	1264	2296
539	1266	2293
540	1269	2292
541	1271	2289
542	1274	2288
543	1276	2285
544	1279	2283
545	1281	2281
546	1283	2278
547	1286	2276
548	1288	2274
549	1290	2272
550	1293	2270
551	1296	2268
552	1298	2265
553	1300	2263
554	1303	2261
555	1305	2259
556	1307	2256
557	1310	2254
558	1312	2252
559	1315	2249
560	1317	2247
561	1319	2244
562	1321	2242
563	1324	2239
564	1326	2237
565	1328	2235
566	1331	2233
567	1333	2230
568	1336	2228
569	1338	2226
570	1341	2224
571	1343	2222
572	1345	2219
573	1348	2217
574	1350	2214
575	1352	2212
576	1355	2210
577	1357	2207
578	1359	2205
579	1361	2202
580	1364	2201
581	1367	2198
582	1370	2197
583	1372	2194
584	1374	2192
585	1376	2189
586	1379	2187
587	1382	2185
588	1384	2183
589	1386	2180
590	1388	2178
591	1391	2175
592	1393	2173
593	1395	2171
594	1398	2169
595	1400	2167
596	1402	2164
597	1405	2162
598	1407	2159
599	1409	2157
600	1410	2152
601	1412	2149
602	1414	2147
603	1417	2145
604	1419	2142
605	1420	2137
606	1422	2134
607	1424	2132
608	1427	2130
609	1429	2127
610	1431	2124
611	1434	2123
612	1436	2120
613	1438	2117
614	1438	2112
615	1441	2110
616	1443	2107
617	1446	2105
618	1447	2102
619	1450	2100
620	1452	2097
621	1454	2095
622	1456	2092
623	1459	2090
624	1462	2088
625	1463	2086
626	1466	2083
627	1468	2080
628	1470	2078
629	1473	2077
630	1476	2075
631	1478	2072
632	1481	2071
633	1483	2068
634	1486	2066
635	1488	2064
636	1491	2062
637	1493	2060
638	1496	2058
639	1498	2055
640	1500	2052
641	1503	2051
642	1505	2049
643	1508	2047
644	1510	2044
645	1513	2042
646	1513	2037
647	1515	2034
648	1518	2032
649	1520	2030
650	1522	2027
651	1524	2025
652	1527	2022
653	1529	2020
654	1531	2017
655	1534	2015
656	1536	2013
657	1538	2011
658	1541	2008
659	1543	2006
660	1545	2004
661	1548	2002
662	1550	1999
663	1552	1997
664	1555	1995
665	1558	1993
666	1560	1991
667	1563	1988
668	1564	1986
669	1567	1983
670	1567	1978
671	1569	1976
672	1571	1973
673	1574	1971
674	1576	1968
675	1578	1966
676	1581	1965
677	1584	1962
678	1586	1960
679	1589	1958
680	1591	1955
681	1593	1953
682	1594	1948
683	1596	1946
684	1598	1944
685	1601	1941
686	1603	1939
687	1605	1936
688	1607	1934
689	1610	1932
690	1613	1930
691	1615	1927
692	1617	1926
693	1621	1925
694	1623	1922
695	1626	1920
696	1626	1916
697	1629	1914
698	1631	1911
699	1633	1909
700	1637	1908
701	1639	1906
702	1642	1904
703	1644	1901
704	1647	1899
705	1649	1897
706	1651	1894
707	1653	1892
708	1656	1890
709	1658	1887
710	1661	1885
711	1663	1883
712	1666	1881
713	1667	1877
714	1670	1875
715	1672	1873
716	1675	1871
717	1677	1868
718	1679	1866
719	1681	1863
720	1684	1861
721	1686	1859
722	1689	1857
723	1691	1854
724	1693	1852
725	1696	1850
726	1698	1848
727	1699	1844
728	1701	1842
729	1704	1839
730	1706	1837
731	1708	1834
732	1710	1832
733	1713	1830
734	1715	1827
735	1718	1825
736	1720	1823
737	1723	1821
738	1725	1818
739	1727	1816
740	1728	1812
741	1730	1810
742	1733	1808
743	1736	1806
744	1738	1803
745	1740	1801
746	1742	1798
747	1745	1796
748	1748	1794
749	1759	1802
750	1766	1804
751	1772	1805
752	1777	1805
753	1780	1804
754	1784	1803
755	1787	1801
756	1790	1799
757	1793	1797
758	1795	1795
759	1798	1794
760	1801	1791
761	1804	1790
762	1806	1788
763	1810	1786
764	1812	1784
765	1814	1781
766	1817	1780
767	1820	1777
768	1822	1774
769	1825	1772
770	1827	1770
771	1830	1768
772	1832	1766
773	1835	1764
774	1837	1761
775	1840	1759
776	1842	1757
777	1845	1755
778	1847	1752
779	1850	1750
780	1852	1748
781	1855	1746
782	1858	1744
783	1860	1741
784	1863	1739
785	1865	1737
786	1868	1735
787	1869	1731
788	1872	1729
789	1874	1727
790	1877	1725
791	1879	1722
792	1882	1720
793	1884	1718
794	1887	1716
795	1889	1713
796	1892	1712
797	1894	1709
798	1897	1707
799	1899	1704
800	1902	1703
801	1905	1700
802	1908	1699
803	1910	1696
804	1913	1694
805	1916	1692
806	1918	1690
807	1921	1688
808	1924	1686
809	1926	1684
810	1929	1681
811	1931	1679
812	1934	1677
813	1936	1675
814	1939	1673
815	1942	1670
816	1944	1668
817	1945	1664
818	1947	1662
819	1949	1659
820	1953	1658
821	1955	1655
822	1958	1653
823	1960	1651
824	1963	1649
825	1965	1646
826	1968	1644
827	1971	1642
828	1973	1640
829	1976	1638
830	1979	1636
831	1982	1634
832	1985	1632
833	1987	1629
834	1990	1627
835	1992	1625
836	1994	1623
837	1998	1621
838	2000	1619
839	2002	1616
840	2005	1614
841	2008	1612
842	2010	1609
843	2012	1606
844	2014	1604
845	2017	1602
846	2020	1600
847	2022	1598
848	2025	1596
849	2028	1594
850	2031	1591
851	2033	1589
852	2036	1587
853	2039	1585
854	2041	1583
855	2045	1581
856	2047	1579
857	2050	1577
858	2052	1574
859	2055	1572
860	2057	1570
861	2060	1568
862	2063	1566
863	2065	1563
864	2068	1561
865	2071	1559
866	2073	1557
867	2074	1553
868	2076	1551
869	2079	1549
870	2081	1546
871	2084	1544
872	2087	1542
873	2090	1540
874	2092	1538
875	2095	1535
876	2097	1533
877	2100	1530
878	2103	1529
879	2105	1526
880	2108	1524
881	2110	1522
882	2113	1520
883	2115	1517
884	2118	1515
885	2121	1513
886	2124	1511
887	2126	1508
888	2129	1506
889	2131	1504
890	2135	1502
891	2137	1500
892	2139	1497
893	2142	1495
894	2144	1492
895	2147	1490
896	2147	1487
897	2150	1484
898	2153	1482
899	2155	1480
900	2157	1477
901	2160	1475
902	2162	1472
903	2164	1470
904	2167	1468
905	2169	1465
906	2173	1463
907	2175	1461
908	2178	1459
909	2180	1457
910	2184	1455
911	2186	1453
912	2189	1450
913	2192	1448
914	2194	1446
915	2197	1444
916	2200	1442
917	2202	1439
918	2205	1437
919	2207	1435
920	2210	1432
921	2213	1430
922	2215	1428
923	2218	1426
924	2220	1423
925	2223	1421
926	2226	1419
927	2229	1417
928	2230	1413
929	2232	1411
930	2234	1409
931	2237	1406
932	2240	1404
933	2243	1402
934	2246	1400
935	2249	1398
936	2251	1395
937	2254	1393
938	2256	1391
939	2259	1389
940	2262	1387
941	2265	1385
942	2267	1382
943	2270	1380
944	2272	1377
945	2275	1375
946	2277	1373
947	2280	1371
948	2282	1368
949	2285	1366
950	2288	1364
951	2291	1362
952	2293	1359
953	2296	1357
954	2298	1355
955	2301	1353
956	2304	1350
957	2307	1348
958	2309	1346
959	2312	1344
960	2314	1341
961	2317	1339
962	2320	1337
963	2322	1334
964	2325	1332
965	2326	1329
966	2329	1327
967	2331	1324
968	2334	1322
969	2336	1319
970	2339	1317
971	2341	1315
972	2344	1313
973	2346	1310
974	2349	1308
975	2351	1306
976	2354	1303
977	2356	1301
978	2359	1299
979	2362	1297
980	2365	1294
981	2367	1292
982	2370	1290
983	2372	1287
984	2375	1285
985	2377	1282
986	2380	1280
987	2382	1278
988	2385	1275
989	2387	1273
990	2390	1271
991	2393	1269
992	2395	1266
993	2398	1264
994	2400	1261
995	2402	1259
996	2405	1257
997	2408	1254
998	2409	1251
999	2411	1249
1000	2414	1246
1001	2416	1244
1002	2419	1242
1003	2421	1239
1004	2424	1237
1005	2426	1235
1006	2429	1232
1007	2431	1230
1008	2434	1227
1009	2436	1225
1010	2439	1223
1011	2441	1220
1012	2444	1218
1013	2446	1216
1014	2449	1213
1015	2452	1211
1016	2454	1209
1017	2457	1207
1018	2460	1204
1019	2463	1202
1020	2465	1200
1021	2468	1197
1022	2470	1195
1023	2473	1193
1024	2474	1190
1025	2477	1187
1026	2478	1185
1027	2480	1182
1028	2483	1180
1029	2485	1177
1030	2488	1175
1031	2491	1173
1032	2493	1170
1033	2496	1168
1034	2498	1166
1035	2501	1163
1036	2504	1161
1037	2506	1159
1038	2509	1156
1039	2510	1153
1040	2512	1151
1041	2515	1148
1042	2516	1145
1043	2518	1143
1044	2520	1140
1045	2523	1138
1046	2525	1136
1047	2528	1134
1048	2531	1131
1049	2534	1129
1050	2536	1127
1051	2539	1124
1052	2541	1122
1053	2545	1120
1054	2547	1118
1055	2550	1115
1056	2552	1113
1057	2555	1110
1058	2558	1108
1059	2560	1106
1060	2563	1104
1061	2566	1101
1062	2568	1099
1063	2570	1096
1064	2572	1094
1065	2575	1092
1066	2577	1089
1067	2580	1087
1068	2582	1084
1069	2584	1082
1070	2587	1080
1071	2590	1077
1072	2593	1075
1073	2596	1073
1074	2598	1070
1075	2600	1068
1076	2603	1066
1077	2606	1063
1078	2608	1061
1079	2611	1059
1080	2614	1056
1081	2616	1054
1082	2617	1051
1083	2618	1048
1084	2620	1045
1085	2623	1043
1086	2626	1041
1087	2628	1038
1088	2630	1036
1089	2633	1034
1090	2636	1031
1091	2639	1029
1092	2642	1027
1093	2644	1024
1094	2646	1022
1095	2648	1019
1096	2650	1017
1097	2653	1015
1098	2656	1012
1099	2658	1010
1100	2661	1007
1101	2663	1005
1102	2666	1003
1103	2669	1001
1104	2671	998
1105	2674	996
1106	2677	994
1107	2678	991
1108	2681	988
1109	2683	986
1110	2686	983
1111	2689	981
1112	2691	979
1113	2694	977
1114	2697	974
1115	2700	972
1116	2702	970
1117	2705	968
1118	2708	965
1119	2711	963
1120	2714	961
1121	2717	959
1122	2720	956
1123	2722	954
1124	2725	952
1125	2728	949
1126	2730	947
1127	2733	945
1128	2736	942
1129	2739	940
1130	2742	938
1131	2744	935
1132	2747	933
1133	2749	931
1134	2753	929
1135	2755	926
1136	2758	924
1137	2760	921
1138	2763	919
1139	2766	917
1140	2768	914
1141	2772	912
1142	2774	910
1143	2777	907
1144	2780	905
1145	2781	902
1146	2783	900
1147	2786	898
1148	2789	895
1149	2791	893
1150	2794	891
1151	2797	888
1152	2799	886
1153	2803	884
1154	2805	881
1155	2808	879
1156	2811	877
1157	2813	874
1158	2816	872
1159	2819	870
1160	2821	867
1161	2824	865
1162	2826	862
1163	2829	860
1164	2832	858
1165	2835	855
1166	2838	853
1167	2840	851
1168	2843	848
1169	2846	846
1170	2849	844
1171	2852	842
1172	2854	839
1173	2857	837
1174	2860	835
1175	2863	832
1176	2866	830
1177	2866	827
1178	2869	825
1179	2871	822
1180	2874	820
1181	2877	817
1182	2880	815
1183	2883	813
1184	2886	811
1185	2890	809
1186	2893	806
1187	2897	804
1188	2899	802
1189	2907	801
1190	2910	799
1191	2914	797
1192	2917	794
1193	2919	792
1194	2923	790
1195	2926	787
1196	2928	785
1197	2932	783
1198	2935	780
1199	2939	778
1200	2941	776
1201	2944	774
1202	2946	771
1203	2949	769
1204	2952	766
1205	2955	764
1206	2957	762
1207	2961	760
1208	2964	757
1209	2967	755
1210	2970	752
1211	2972	750
1212	2975	748
1213	2978	745
1214	2981	743
1215	2984	741
1216	2989	739
1217	2992	737
1218	2995	734
1219	2998	732
1220	3001	730
1221	3006	728
1222	3009	725
1223	3013	723
1224	3016	721
1225	3019	719
1226	3022	716
1227	3025	714
1228	3028	712
1229	3031	709
1230	3035	707
1231	3037	705
1232	3041	702
1233	3043	700
1234	3047	698
1235	3049	695
1236	3052	693
1237	3055	691
1238	3058	688
1239	3063	686
1240	3067	684
1241	3070	682
1242	3073	679
1243	3076	677
1244	3081	675
1245	3084	673
1246	3088	671
1247	3091	668
1248	3094	666
1249	3095	663
1250	3098	661
1251	3101	659
1252	3104	656
1253	3104	653
1254	3107	651
1255	3110	648
1256	3113	646
1257	3116	644
1258	3120	641
1259	3122	639
1260	3125	637
1261	3128	634
1262	3131	632
1263	3134	629
1264	3135	627
1265	3138	624
1266	3141	622
1267	3144	619
1268	3146	617
1269	3149	615
1270	3152	612
1271	3154	610
1272	3157	607
1273	3160	605
1274	3163	602
1275	3166	600
1276	3169	598
1277	3170	595
1278	3172	592
1279	3175	590
1280	3178	588
1281	3181	585
1282	3184	583
1283	3186	580
1284	3189	578
1285	3191	575
1286	3193	573
1287	3194	570
1288	3196	567
1289	3198	565
1290	3201	562
1291	3203	560
1292	3206	557
1293	3208	555
1294	3211	553
1295	3213	550
1296	3216	548
1297	3218	545
1298	3221	543
1299	3223	540
1300	3225	538
1301	3228	535
1302	3230	533
1303	3232	530
1304	3235	528
1305	3237	525
1306	3239	523
1307	3241	520
1308	3244	518
1309	3246	515
1310	3249	513
1311	3252	510
1312	3254	508
1313	3257	505
1314	3259	503
1315	3261	500
1316	3264	498
1317	3267	495
1318	3269	493
1319	3271	490
1320	3273	488
1321	3276	485
1322	3278	483
1323	3281	480
1324	3283	478
1325	3286	475
1326	3288	473
1327	3290	470
1328	3292	468
1329	3295	465
1330	3297	463
1331	3300	460
1332	3301	458
1333	3303	455
1334	3305	453
1335	3307	450
1336	3309	448
1337	3312	445
1338	3314	443
1339	3315	440
1340	3317	437
1341	3319	435
1342	3322	432
1343	3324	430
1344	3326	427
1345	3328	425
1346	3331	422
1347	3333	420
1348	3336	417
1349	3338	415
1350	3340	412
1351	3343	410
1352	3345	408
1353	3348	405
1354	3350	403
1355	3352	400
1356	3355	398
1357	3357	395
1358	3358	392
1359	3360	390
1360	3363	387
1361	3364	385
1362	3367	382
1363	3369	380
1364	3372	377
1365	3374	375
1366	3377	373
1367	3379	370
1368	3381	368
1369	3383	365
1370	3385	363
1371	3387	360
1372	3390	358
1373	3392	355
1374	3395	353
1375	3397	350
1376	3399	348
1377	3402	345
1378	3404	343
1379	3407	340
1380	3409	338
1381	3411	335
1382	3414	333
1383	3416	330
1384	3419	328
1385	3421	325
1386	3422	323
1387	3424	320
1388	3426	318
1389	3427	315
1390	3429	313
1391	3431	310
1392	3434	308
1393	3436	305
1394	3439	303
1395	3441	300
1396	3443	298
1397	3445	295
1398	3448	293
1399	3450	290
1400	3451	288
1401	3453	285
1402	3455	283
1403	3458	280
1404	3460	278
1405	3463	275
1406	3465	273
1407	3467	270
1408	3470	268
1409	3472	265
1410	3474	263
1411	3476	260
1412	3479	258
1413	3481	256
1414	3484	253
1415	3486	251
1416	3487	248
1417	3489	246
1418	3492	243
1419	3493	241
1420	3495	238
1421	3497	236
1422	3498	233
1423	3501	231
1424	3503	228
1425	3505	226
1426	3508	223
1427	3512	221
1428	3515	218
1429	3518	216
1430	3520	214
1431	3523	211
1432	3525	209
1433	3526	206
1434	3528	204
1435	3530	201
1436	3532	199
1437	3535	196
1438	3537	194
1439	3540	191
1440	3543	189
1441	3545	186
1442	3548	184
1443	3550	181
1444	3552	179
1445	3555	177
1446	3557	174
1447	3559	172
1448	3562	169
1449	3564	167
1450	3566	164
1451	3569	162
1452	3571	159
1453	3574	157
1454	3576	154
1455	3578	152
1456	3580	149
1457	3583	147
1458	3585	145
1459	3587	142
1460	3589	140
1461	3592	137
1462	3592	135
1463	3594	132
1464	3597	130
1465	3598	127
1466	3600	125
1467	3603	122
1468	3605	120
1469	3607	117
1470	3610	115
1471	3613	112
1472	3615	110
1473	3618	108
1474	3620	105
1475	3623	103
1476	3625	100
1477	3627	98
1478	3630	95
1479	3633	93
1480	3635	90
1481	3638	88
1482	3640	85
1483	3642	83
1484	3644	80
1485	3647	78
1486	3649	76
1487	3652	73
1488	3652	71
1489	3653	68
1490	3655	66
1491	3658	63
1492	3661	61
1493	3663	58
1494	3666	56
1495	3668	53
1496	3671	51
1497	3673	49
1498	3676	46
1499	3678	44
1500	3680	41
1501	3683	39
1502	3685	36
1503	3687	34
1504	3690	31
1505	3692	29
1506	3695	26
1507	3696	24
1508	3698	22
1509	3701	19
1510	3703	17
1511	3705	14
1512	3708	12
1513	3710	9
1514	3713	7
1515	3715	4
1516	3717	2
1517	3720	0
